,auroc,auprc,f1,precision,recall,specificity,threshold,tp,fp,tn,fn
death,0.9237,0.2304,0.1366,0.0758,0.6928,0.9362,0.5,742.0,9047.0,132683.0,329.0
vent,0.7514,0.1073,0.0894,0.0489,0.5203,0.8276,0.5,1245.0,24208.0,116200.0,1148.0
pressor,0.8061,0.0559,0.0696,0.0373,0.5132,0.8977,0.5,562.0,14501.0,127205.0,533.0
composite,0.7594,0.1792,0.1612,0.0934,0.5871,0.7798,0.5,3120.0,30270.0,107217.0,2194.0
