,threshold,auroc,auprc,f1,precision,recall,specificity,tp,fp,fn,tn
death,0.2,0.9237070914350829,0.2303524826872221,0.0672143919541044,0.0349320867228623,0.8860877684407096,0.8150144641219219,949.0,26218.0,122.0,115512.0
vent,0.3,0.7514083084784995,0.10726374808285692,0.05509836971147718,0.028515716631480177,0.812787296280819,0.5280682012420944,1945.0,66263.0,448.0,74145.0
pressor,0.2,0.8061347705104537,0.05590315387792251,0.03533643228235492,0.018084739924216327,0.7671232876712328,0.6781505370273665,840.0,45608.0,255.0,96098.0
composite,0.3,0.7594081327986177,0.17923469355078597,0.10621489991377904,0.056612678855325914,0.8577342867896124,0.44755504156756637,4558.0,75954.0,756.0,61533.0
